Launch Date,Recalls Number,Make,Recalls Model Information,Concern,Defect,Remedy,Vehicle Numbers,Manufacturer Ref,Model,VIN Start,VIN End,Build Start,Build End,groupe,Date,Groupe,Valeur action
1992-09-25,R/1992/058,ford,Granada and Scorpio,BATTERY CABLE TERMINAL MAY TOUCH THE STARTER MOTOR SOLENOID,The battery cable terminal may touch the starter motor solenoid body at the point of attachment to the starter motor. This could result in a short circuit.,Recall the affected vehicles and check the angle of attachment to the starter motor terminal. Where this is close to or touching the starter motor solenoid body it will be repositioned to ensure that adequate clearance is maintained.,139,,GRANADA,LB LR LA LG MC MK MD ME ML MY MS MT MJ MU MM,,01/09/1990,30/09/1991,Ford Motor Company,1992-09-25,Ford Motor Company,0.030458464220455943
1992-10-19,R/1992/059,ford,Escort and Orion,INSECURITY OF FRONT TOWING EYE,The welds securing the front towing eye to its mounting bracket are not to specification and can result in detachment of the eye when the vehicle is under tow.,Recall the affected vehicles for inspection of the welds which secure the front towing eye. Where these are not to specification the welds will be reworked as per the manufacturers instructions.,86584,,ESCORT,1990 - LM  LP  LB  LR  LA  LG 1991 - MC  MK  MD,,01/07/1990,31/03/1991,Ford Motor Company,1992-10-19,Ford Motor Company,0.014686701030280322
1992-10-19,R/1992/059,ford,Escort and Orion,INSECURITY OF FRONT TOWING EYE,The welds securing the front towing eye to its mounting bracket are not to specification and can result in detachment of the eye when the vehicle is under tow.,Recall the affected vehicles for inspection of the welds which secure the front towing eye. Where these are not to specification the welds will be reworked as per the manufacturers instructions.,86584,,ORION,,,01/07/1990,31/03/1991,Ford Motor Company,1992-10-19,Ford Motor Company,0.014686701030280322
1993-01-21,R/1993/009,ford,Escort RS Cosworth,FRONT BRAKE DISCS OF INSUFFICIENT THICKNESS,A small number of subject vehicles may have been equipped with front brake discs of insufficient metal thickness. This could adversely affect braking performance.,Recall the affected vehicles for examination of the front brake discs. Where any disc does not meet the manufacturers dimensional specification both front discs will be renewed.,769,,ESCORT,1992 NA NG NC NK ND NE NL NY NS NT  1993 PJ.,,01/01/1993,16/01/1993,Ford Motor Company,1993-01-21,Ford Motor Company,0.009510820639694512
1993-09-27,R/1993/060,ford,Escort Eclipse,TAILGATE STRUT BRACKETS MAY BEND.,There is a possibility that one or both of the brackets which attach the tailgate struts to the body 'C' pillars may bend allowing the strut to detach. This could permit the tailgate to close unexpectedly.,Recall the affected vehicles for reinforcement of both strut brackets and replacement of any brackets found to be bent.,23485,,ESCORT,1990 LY LS LT LJ LU LM,,01/02/1990,30/07/1990,Ford Motor Company,1993-09-27,Ford Motor Company,0.02337806550020137
1993-10-29,R/1993/064,toyota,Previa,POSSIBLE LOSS OF WINDSCREEN WIPER ACTION.,The windscreen wiper motor and passenger side wiper arm may be of insufficient strength and could fail under extreme operating conditions with loss of wiper action.,Recall the affected vehicles for replacement of the wiper motor and passenger side wiper arm with modified components.,2506,,PREVIA,JT111AC11 00000168 to 00024524,,01/01/1990,30/06/1991,Toyota Motor Corporation,1993-10-29,Toyota Motor Corporation,0.012851959509149505
1994-05-23,R/1994/009,ford,Escort and Orion,EXHAUST DOWNPIPE MAY MOVE AND CONTACT WIRING LOOM,It is possible that the exhaust downpipe may separate from the upper flange and drop onto the starter motor terminal causing damage to the vehicle wiring loom. This may result in the loss of various electrical circuits.,Recall the affected vehicles for replacement of the exhaust downpipe with the current production component.,17556,,ORION,1993 PJ PU PM PP PB PR PA PG PC PK,,01/08/1992,31/10/1993,Ford Motor Company,1994-05-23,Ford Motor Company,0.005186383756967223
1994-05-23,R/1994/009,ford,Escort and Orion,EXHAUST DOWNPIPE MAY MOVE AND CONTACT WIRING LOOM,It is possible that the exhaust downpipe may separate from the upper flange and drop onto the starter motor terminal causing damage to the vehicle wiring loom. This may result in the loss of various electrical circuits.,Recall the affected vehicles for replacement of the exhaust downpipe with the current production component.,17556,,ESCORT,1992 NE NL NY NS NT,,01/08/1992,31/10/1993,Ford Motor Company,1994-05-23,Ford Motor Company,0.005186383756967223
1994-09-26,R/1994/038,ford,Mondeo,FAILURE OF HEADLAMPS,A possibility exists that excessive torque generated when turning on the headlamp switch may induce an internal open circuit and cause the headlamps to go out.,Recall the affected vehicles for replacement of the headlamp switch with a revised component.,211452,,,1993 - PJ PU PM PP PB PR PA PG PC PK PD PE,,01/10/1992,14/07/1993,Ford Motor Company,1994-09-26,Ford Motor Company,0.0022856272036084
1994-09-26,R/1994/038,ford,Mondeo,FAILURE OF HEADLAMPS,A possibility exists that excessive torque generated when turning on the headlamp switch may induce an internal open circuit and cause the headlamps to go out.,Recall the affected vehicles for replacement of the headlamp switch with a revised component.,211452,,MONDEO,1992 - NY NS NT,,01/10/1992,14/07/1993,Ford Motor Company,1994-09-26,Ford Motor Company,0.0022856272036084
1994-09-26,R/1994/038,ford,Mondeo,FAILURE OF HEADLAMPS,A possibility exists that excessive torque generated when turning on the headlamp switch may induce an internal open circuit and cause the headlamps to go out.,Recall the affected vehicles for replacement of the headlamp switch with a revised component.,211452,,,1994 - RL RY RS RT RJ RU RM,,01/10/1992,14/07/1993,Ford Motor Company,1994-09-26,Ford Motor Company,0.0022856272036084
1995-03-07,R/1995/042,ford,Maverick,LOSS OF TYRE PRESSURE,Due to misplacement of the cap ply  tyres may lose pressure through a crack in the butyl inner liner. This may have an adverse affect on vehicle control.,Recall the affected vehicles and check/replace the tyres as necessary with a different construction tyre.,8932,,,RU  RM  RP  RB  BR  RA,,01/03/1993,15/11/1994,Ford Motor Company,1995-03-07,Ford Motor Company,0.007071233071884026
1995-03-07,R/1995/042,ford,Maverick,LOSS OF TYRE PRESSURE,Due to misplacement of the cap ply  tyres may lose pressure through a crack in the butyl inner liner. This may have an adverse affect on vehicle control.,Recall the affected vehicles and check/replace the tyres as necessary with a different construction tyre.,8932,,MAVERICK,PM  PP  PB  PR  PA  PG  PC  PK  PD PE  RL  RY  RS  RT  RJ,,01/03/1993,15/11/1994,Ford Motor Company,1995-03-07,Ford Motor Company,0.007071233071884026
1995-06-26,R/1995/035,ford,Scorpio 24 valve,THROTTLE MAY NOT RETURN TO IDLE POSITION,As a result of tightness in the throttle spindle and/or fouling of the speed control cable on the inlet manifold the throttle may not return to the idle position when the accelerator pedal is released.,Recall the affected vehicles and replace the speed control cable with the latest level type and  if necessary  also replace the throttle body assembly with the latest level type.,993,,SCORPIO,RP RB RR RA RG SC SK SD and SE,,26/08/1994,20/03/1995,Ford Motor Company,1995-06-26,Ford Motor Company,0.0050506770472021605
1995-06-26,R/1995/022,toyota,Lexus GS300,POSSIBLE FAILURE OF SUSPENSION BALL JOINT,The spherical portions of certain lower suspension ball joints were produced with surfaces which were not smooth. The resulting friction could result in rapid wear and may lead to separation of the ball joint.,Recall the affected vehicles and replace the subject ball joints with quality assured examples.,1298,,LEXUS,JT153JSE700019881 to JT153JSE700081662,,01/01/1992,31/12/1994,Toyota Motor Corporation,1995-06-26,Toyota Motor Corporation,0.027420290142795224
1995-07-17,R/1995/048,ford,Maverick - all variants,WHEEL NUTS INSUFFICIENTLY TORQUED,The nuts securing the road wheels may not have been tightened to the correct torque and could become loose.,Recall the affected vehicles and tighten the wheel nuts to the correct torque. Any damage to wheels or studs caused as a result of undertorqueing will be addressed at the recall.,175,,MAVERICK,PM PP PB PR PA PG PC PK PD PE RL RY RS RT RJ RU RM RP RB ,,16/11/1994,28/02/1995.,Ford Motor Company,1995-07-17,Ford Motor Company,0.003713778480986572
1995-07-17,R/1995/048,ford,Maverick - all variants,WHEEL NUTS INSUFFICIENTLY TORQUED,The nuts securing the road wheels may not have been tightened to the correct torque and could become loose.,Recall the affected vehicles and tighten the wheel nuts to the correct torque. Any damage to wheels or studs caused as a result of undertorqueing will be addressed at the recall.,175,,,BR RA RG SC SK,,16/11/1994,28/02/1995.,Ford Motor Company,1995-07-17,Ford Motor Company,0.003713778480986572
1995-07-24,R/1995/050,ford,Escort,INCORRECTLY RATED TYRES,"S maximum speed rated tyres have been fitted. As the vehicle maximum capability exceeds the maximum speed rating of the ""S"" rated tyre  vehicle stability could be adversely affected on a vehicle travelling in excess of the speed rating.","Recall the affected vehicles and replace the tyres with ""T"" maximum speed rated examples.",18,,ESCORT,SD,,06/03/1995,07/03/1995,Ford Motor Company,1995-07-24,Ford Motor Company,0.008782249784504908
1995-09-29,R/1995/061,ford,Escort RS2000 (2WD),CHAFING OF BRAKE HOSES,The hydraulic hoses to the rear brake calipers may have been incorrectly routed. This could result in contact between the hose and the suspension system with consequent damage to the hose.,Recall the affected vehicles to check and where necessary re-route the subject hoses. Any damaged hoses will be replaced.,364,,ESCORT,RA  RG  SC. SK  SD  SE  SL  SY  SS,,01/11/1994,30/07/1995,Ford Motor Company,1995-09-29,Ford Motor Company,0.019591463931776795
1995-11-15,R/1995/076,ford,Escort (all variants with rear drum brakes),POSSIBILITY OF REAR BRAKE CYLINDERS BEING INSECURE,It is possible that the two bolts securing the rear brake cylinder to the brake back plate may not have been fully tightened. If the bolts were to come loose  the efficiency of that brake circuit could be impaired.,Recall the affected vehicles to tighten the subject bolts to the correct specification.,11760,,ESCORT,SE  SL,,15/04/1995,22/05/1995,Ford Motor Company,1995-11-15,Ford Motor Company,0.006648825292659762
1995-11-20,R/1995/080,ford,Fiesta and Courier,STOP LIGHT SWITCH MAY BE FAULTY,The stop light switch on a small number of the subject vehicles may not operate as intended. Should this occur the stop lights may fail to illuminate when the footbrake is applied.,Recall the affected vehicles for replacement of the stop light switch with a switch of the latest specification.,11760,,FIESTA,SE,,03/04/1995,07/04/1995,Ford Motor Company,1995-11-20,Ford Motor Company,0.016852075582904313
1995-11-20,R/1995/080,ford,Fiesta and Courier,STOP LIGHT SWITCH MAY BE FAULTY,The stop light switch on a small number of the subject vehicles may not operate as intended. Should this occur the stop lights may fail to illuminate when the footbrake is applied.,Recall the affected vehicles for replacement of the stop light switch with a switch of the latest specification.,11760,,COURIER,,,03/04/1995,07/04/1995,Ford Motor Company,1995-11-20,Ford Motor Company,0.016852075582904313
1996-01-23,R/1995/088,daihatsu,Hijet,INSECURITY OF BRAKE PEDAL,The nut securing the brake pedal may not have been tightened to the specified torque. If this is not corrected it could allow detachment of the pedal.,Recall the affected vehicles  remove the relevant nut  apply locking compound to the threads and replace and tighten the nut to the manufacturers specified torque.,1605,,HIJET,Various,,01/09/1994,30/11/1995,Toyota Motor Corporation,1996-01-23,Toyota Motor Corporation,0.005173945659454347
1996-01-23,R/1996/022,ford,Fiesta  Escort and Mondeo,FAILURE OF BRAKING SYSTEM VACUUM ASSISTANCE,The brake vacuum pump may cease to provide vacuum assistance. Should this occur  greater brake pedal pressure would be needed and stopping distances may be increased.,The affected vehicles are being recalled to Ford dealers to have the brake pump manufacturing codes checked. Vacuum pumps within certain ranges will be replaced with new units. This campaign supersedes recall R1995/081 and includes all the vehicles alrea,56864,,ESCORT,,,19/06/1995,,Ford Motor Company,1996-01-23,Ford Motor Company,0.017834638376350017
1996-01-23,R/1996/022,ford,Fiesta  Escort and Mondeo,FAILURE OF BRAKING SYSTEM VACUUM ASSISTANCE,The brake vacuum pump may cease to provide vacuum assistance. Should this occur  greater brake pedal pressure would be needed and stopping distances may be increased.,The affected vehicles are being recalled to Ford dealers to have the brake pump manufacturing codes checked. Vacuum pumps within certain ranges will be replaced with new units. This campaign supersedes recall R1995/081 and includes all the vehicles alrea,56864,,FIESTA,SY  SS  ST  SJ  SU  SM  SP  TB  TR,,19/06/1995,,Ford Motor Company,1996-01-23,Ford Motor Company,0.017834638376350017
1996-01-23,R/1996/022,ford,Fiesta  Escort and Mondeo,FAILURE OF BRAKING SYSTEM VACUUM ASSISTANCE,The brake vacuum pump may cease to provide vacuum assistance. Should this occur  greater brake pedal pressure would be needed and stopping distances may be increased.,The affected vehicles are being recalled to Ford dealers to have the brake pump manufacturing codes checked. Vacuum pumps within certain ranges will be replaced with new units. This campaign supersedes recall R1995/081 and includes all the vehicles alrea,56864,,MONDEO,,,19/06/1995,,Ford Motor Company,1996-01-23,Ford Motor Company,0.017834638376350017
1996-03-15,R/1996/040,ford,Mondeo (Except V6 variants),POSSIBLE FAILURE OF OFFSIDE FRONT BRAKE CALIPER,It is possible that some Mondeo vehicles may have been fitted with a right hand front brake caliper where the casting is not to specification. In time this may result in fluid leakage with the loss of one brake circuit.,Recall the affected vehicles for a check on the manufacturing date of the subject caliper. Caliper units falling within the affected range will be replaced.,1812,,MONDEO,SU,,10/10/1995,12/10/1995,Ford Motor Company,1996-03-15,Ford Motor Company,0.015121141464070849
1996-04-26,R/1996/051,ford,Scorpio (all variants),INSECURITY OF REAR AXLE,On vehicles where the rear axle mounting arrangement is by means of studs and bolts  the axle assembly may become loose to the vehicle underbody.,Recall the affected vehicles for the fitment of modified axle mounting blocks to the vehicle underbody and replacement of the subject studs and nuts by bolts.,1063,,SCORPIO,TR TA,,05/02/1996,14/03/1996,Ford Motor Company,1996-04-26,Ford Motor Company,0.0015155478535405801
1996-06-20,R/1996/063,ford,Transit,TYRE PLY RATING MAY BE INCORRECT,It is possible that 6 ply rated tyres may have been fitted instead of the 8 ply rated tyres specified.,Recall the affected vehicles to have the tyre ply ratings checked and  where necessary  to have correctly rated tyres fitted.,74,,TRANSIT,SD  SE  SL  SY  SS  ST  SJ  SU  SM  SP,,01/03/1995,11/12/1995,Ford Motor Company,1996-06-20,Ford Motor Company,0.006153812413961102
1996-07-25,RCOMP/96/003,toyota,Roof Rack,SECURITY OF ROOF RACK,Under certain loading conditions or as a result of incorrect installation  the roof rack may become loose and fall from the vehicle.,Owners who have purchased the subject roof racks are being contacted by Toyota dealers and requested to take the vehicles back for the fitment of improved clamps to the roof rack system.,50,,ROOF RACK,,,,,Toyota Motor Corporation,1996-07-25,Toyota Motor Corporation,0.007939579386388299
1996-09-12,R/1996/098,ford,Transit ambulance,WIRING LOOM INSULATION  ALSO SPLIT CHARGE RELAY CAPACITY,On some Transit Ambulance vehicles the split charge relay is insufficiently rated for its application. Additionally on these same vehicles the engine compartment wiring loom is equipped with unsatisfactory insulation.,Recall the affected vehicles for the fitment of a new level charge relay. At the same time the engine compartment wiring loom will be inspected  replaced if damaged or retaped with new level insulation tape if undamaged.,160,,TRANSIT,To be advised,,01/01/1991,31/12/1993,Ford Motor Company,1996-09-12,Ford Motor Company,0.007117137472442604
1996-09-18,R/1996/084,ford,New Fiesta and Courier,POSSIBLE CONTAMINATION OF BRAKE FLUID,The clutch system hydraulic hoses have been manufactured from a material which contains mineral oil. Since the clutch and brake systems share a common fluid reservoir fluid from the clutch system which has been contaminated by contact with the hoses may m,Recall the affected vehicles for the fitment of new seals to the brake master cylinder. At the same time the brake/clutch hydraulic systems will be purged of the original fluid and new clutch hoses will be fitted. In addition  vehicles built prior,81112,,FIESTA,SS  ST  SJ  SU  SM  SP  TB  TR  TA  TG  TC  TK  TD & TE,,01/07/1995,30/07/1996,Ford Motor Company,1996-09-18,Ford Motor Company,0.005006127663608015
1996-09-18,R/1996/084,ford,New Fiesta and Courier,POSSIBLE CONTAMINATION OF BRAKE FLUID,The clutch system hydraulic hoses have been manufactured from a material which contains mineral oil. Since the clutch and brake systems share a common fluid reservoir fluid from the clutch system which has been contaminated by contact with the hoses may m,Recall the affected vehicles for the fitment of new seals to the brake master cylinder. At the same time the brake/clutch hydraulic systems will be purged of the original fluid and new clutch hoses will be fitted. In addition  vehicles built prior,81112,,COURIER,,,01/07/1995,30/07/1996,Ford Motor Company,1996-09-18,Ford Motor Company,0.005006127663608015
1996-10-21,R/1996/095,ford,Galaxy (all variants),BRAKING SYSTEM MAY OVERHEAT,"Vehicles built during the period covered by the recall may have been fitted with a brake servo which incorporates an out of specification seal on the output shaft. This could result in excessive ""drag"" on the brake pushrod preventing the brake",Recall the affected vehicles for the fitment of a supplementary return spring between the brake pedal and the brake servo housing.,4004,,GALAXY,TG  TC  TK and TD,,29/04/1996,19/07/1996,Ford Motor Company,1996-10-21,Ford Motor Company,0.00287902718620266
1996-11-29,R/1996/088a,toyota,Landcruiser,LOSS OF BRAKING SYSTEM VACUUM ASSISTANCE,The rotor blades in the brake vacuum pump may have a rough surface and be subject to wear. In the worst case the blades may break causing loss of brake vacuum assistance and resulting in increased stopping distances.,The affected vehicles are being recalled to Toyota Dealers for replacement of the vacuum pump blades and rotor.,3349,,LANDCRUISER,JT111JT8000000002 to 00003016,,01/12/1989,30/06/1994,Toyota Motor Corporation,1996-11-29,Toyota Motor Corporation,0.014342529188297239
1996-11-29,R/1996/088a,toyota,Landcruiser,LOSS OF BRAKING SYSTEM VACUUM ASSISTANCE,The rotor blades in the brake vacuum pump may have a rough surface and be subject to wear. In the worst case the blades may break causing loss of brake vacuum assistance and resulting in increased stopping distances.,The affected vehicles are being recalled to Toyota Dealers for replacement of the vacuum pump blades and rotor.,3349,,,JT111TJ8008000005 to 08010734,,01/12/1989,30/06/1994,Toyota Motor Corporation,1996-11-29,Toyota Motor Corporation,0.014342529188297239
1996-11-29,R/1996/088a,toyota,Landcruiser,LOSS OF BRAKING SYSTEM VACUUM ASSISTANCE,The rotor blades in the brake vacuum pump may have a rough surface and be subject to wear. In the worst case the blades may break causing loss of brake vacuum assistance and resulting in increased stopping distances.,The affected vehicles are being recalled to Toyota Dealers for replacement of the vacuum pump blades and rotor.,3349,,,JT111TJ8007000016 to 07017998,,01/12/1989,30/06/1994,Toyota Motor Corporation,1996-11-29,Toyota Motor Corporation,0.014342529188297239
1997-04-22,R/1997/025,mercedes benz,S Class,POSSIBLE LOSS OF BRAKE FLUID,There may be insufficient clearance between the front brake hoses and the tyre inner wall. In the long term  this could result in damage to the brake hose(s) with a risk of fluid loss.,The affected vehicles are being recalled for installation of a spacer to ensure adequate clearance between the front brake hoses and the tyre walls. Any hoses showing signs of previous contact will be changed.,3096,,S CLASS,275366 to 356203,,01/01/1995,31/12/1996,Daimler AG,1997-04-22,Daimler AG,0.0007785546237981259
1997-05-27,R/1997/005,bmw,3 Series,CORROSION ON LOWER STEERING SHAFT,Instances of corrosion on the corrugated section of the lower steering shaft have occurred. This could lead to eventual weakening of the shaft.,All vehicles fitted with corrugated type lower steering shafts will have them replaced with quality assured examples.,80000,,3 SERIES,Various,,01/02/1991,31/12/1994,BMW,1997-05-27,BMW,0.011870430635800325
1997-07-14,R/1997/030,daihatsu,Hijet (not diesel),CORROSION ON WIRING HARNESS CONNECTORS,The terminal blades of some wiring harness connectors may corrode resulting in a failure of electrical power supply.,The affected vehicles are being recalled for replacement and modification of the relevant wiring harnesses. The replacements will incorporate moisture proof connectors.,7498,,HIJET,To be advised,,,,Toyota Motor Corporation,1997-07-14,Toyota Motor Corporation,0.006490209879169723
1997-07-23,R/1997/027,toyota,Carina E,POSSIBLE NON-OPERATION OF STOP LIGHTS,Surplus grease applied to the stop light switch during production may carbonise and result in the stop lights not illuminating when the footbrake is applied.,The affected vehicles are being recalled for inspection  and if required  replacement of the stop light switch.,44611,,CARINA,Various,,01/09/1993,31/01/1996,Toyota Motor Corporation,1997-07-23,Toyota Motor Corporation,0.006329694279537609
1997-08-29,R/1997/062,ford,Galaxy (fitted with integral child seat),EFFECTIVENESS OF INTEGRATED CHILD SEAT,The child seat upper base frame and inbuilt seat belt retractor assemblies may not meet the appropriate EC crash testing requirements.,Integrated child seats supplied with Galaxys from Jan 96 to Apr 1997 are being recalled for replacement of the upper base frames with modified versions. In addition belt retractors are being replaced with modified units on integrated seats supplied with Galaxys built between 1st January 1996 and October 1996. Ford are also advising all other Galaxy owners who have purchased the subject seat.,673,,GALAXY,TB  TR  TA  TG  TC  TK  TD  TE  TL  TY  TS  TT  VJ  VU ,,01/01/1996,07/04/1997,Ford Motor Company,1997-08-29,Ford Motor Company,0.007511505763376701
1997-08-29,R/1997/062,ford,Galaxy (fitted with integral child seat),EFFECTIVENESS OF INTEGRATED CHILD SEAT,The child seat upper base frame and inbuilt seat belt retractor assemblies may not meet the appropriate EC crash testing requirements.,Integrated child seats supplied with Galaxys from Jan 96 to Apr 1997 are being recalled for replacement of the upper base frames with modified versions. In addition belt retractors are being replaced with modified units on integrated seats supplied with Galaxys built between 1st January 1996 and October 1996. Ford are also advising all other Galaxy owners who have purchased the subject seat.,673,,,VM and VP,,01/01/1996,07/04/1997,Ford Motor Company,1997-08-29,Ford Motor Company,0.007511505763376701
1998-08-14,R/1998/060,ford,RHD Explorer,ACCELERATOR PEDAL MAY JAM,Two conditions have been identified that may inhibit the throttle pedal from returning to its normal idle position.  1) The possibility that a loose or incorrectly located floor mat may interfere with the lower edge of the pedal assembly  and  2) A potential foul condition between the engine compartment bulkhead insulation material and the throttle cable.,Recall all affected vehicles to fit revised design floor mats and securing system. A revised design  quality assured throttle pedal and associated hardware is also being fitted to provide increased clearance between the lower edge of the pedal and the carpet. This recall supersedes R1998/038.,4577,,EXPLORER,V (1997) & W (1998),,01/08/1996,27/04/1998,Ford Motor Company,1998-08-14,Ford Motor Company,0.03294523471702112
1998-11-06,R/1998/017,toyota,Lexus LS400,POSSIBILITY OF UNDERBONNET FIRE,As a result of improper assembly of the starter motor magnetic switch an electrical short circuit may occur if electrically conductive liquid enters this area. This could result in burning of the wiring insulation and  in extreme cases  an underbonnet fire.,Affected vehicles are being recalled for replacement of the starter motor magnetic switch.,2220,,LEXUS,00024691 to 00094983,,01/04/1995,30/06/1997,Toyota Motor Corporation,1998-11-06,Toyota Motor Corporation,0.031678718954578716
1998-12-17,R/1998/115,ford,Fiesta and KA fitted with ABS,REDUCTION IN BRAKING EFFICIENCY,Possible loss of one braking circuit due to brake master cylinder failure,Affected vehicles are being recalled for checking and  where necessary  replacement of the brake master cylinder.,1142,,FIESTA,WS  WT  WJ  WU  WM  WP & WB,,30/03/1998,30/09/1998,Ford Motor Company,1998-12-17,Ford Motor Company,0.011813993800267337
1998-12-17,R/1998/115,ford,Fiesta and KA fitted with ABS,REDUCTION IN BRAKING EFFICIENCY,Possible loss of one braking circuit due to brake master cylinder failure,Affected vehicles are being recalled for checking and  where necessary  replacement of the brake master cylinder.,1142,,KA,,,30/03/1998,30/09/1998,Ford Motor Company,1998-12-17,Ford Motor Company,0.011813993800267337
1999-01-06,R/1999/049,rolls royce,Rolls Royce Seraph and Bentley Arnage,HEATED SEATS MAY REACH AN UNACCEPTABLY HIGH TEMPERATURE,On the vehicles affected  the potential exists for the surface of each heated seat to reach an unacceptably high temperature. In extreme cases  this could cause damage to anything in contact with the seat cushion.,Recall affected vehicles and fit an additional control unit to each heated seat.,597,,SILVER SERIES,SCALA61E2WCH0107,SCALA61E7XCH02780,24/11/1997,03/05/1999,BMW,1999-01-06,BMW,0.0259297888862602
